Id,Disease
981,"Hematoma, Subdural, Chronic"
982,Ciliary Motility Disorders
983,"Tachycardia, Ectopic Atrial"
984,"Lymphoma, B-Cell, Marginal Zone"
985,"Lymphoma, T-Cell"
986,"Cardiomyopathy, Dilated"
987,Lacerations
988,Mandibular Fractures
989,Hip Dislocation
990,Cleidocranial Dysplasia
991,Skin Abnormalities
992,Myositis
993,Restless Legs Syndrome
994,Sick Sinus Syndrome
995,Adrenal Gland Diseases
996,Hyperaldosteronism
997,Wissler's Syndrome
998,Apnea
999,Femoral Fractures
1000,"Carcinoma, Pancreatic Ductal"
1001,Lambert-Eaton Myasthenic Syndrome
1002,"Porphyria, Hepatoerythropoietic"
1003,"Purpura, Hyperglobulinemic"
1004,Hyperamylasemia
1005,Dystonia Musculorum Deformans
1006,"Myopathies, Nemaline"
1007,Pityriasis Rubra Pilaris
1008,"Lead Poisoning, Nervous System, Adult"
1009,Acquired Immunodeficiency Syndrome
1010,Gastroesophageal Reflux
1011,Burkholderia Infections
1012,Lemierre Syndrome
1013,Rat-Bite Fever
1014,Chickenpox
1015,"Skin Diseases, Viral"
1016,Tick Infestations
1017,"Sarcoma, Ewing's"
1018,Phyllodes Tumor
1019,Maxillary Neoplasms
1020,Hereditary Sensory and Autonomic Neuropathies
1021,Ovarian Diseases
1022,"Infarction, Middle Cerebral Artery"
1023,Facies
1024,Mandibular Neoplasms
1025,"Pyloric Stenosis, Hypertrophic"
1026,Kearns-Sayre Syndrome
1027,Mandibular Injuries
1028,"Hepatitis, Viral, Animal"
1029,"Eczema, Dyshidrotic"
1030,Heel Spur
1031,Hemostatic Disorders
1032,Cholelithiasis
1033,Stomach Diseases
1034,Puerperal Disorders
1035,"Polyendocrinopathies, Autoimmune"
1036,"Encephalitis, St. Louis"
1037,"Leukemia, B-Cell"
1038,"Leukemia-Lymphoma, Adult T-Cell"
1039,Inflammatory Bowel Diseases
1040,Dyskinesias
1041,Fragile X Syndrome
1042,"Anemia, Sideroblastic"
1043,"Hernia, Hiatal"
1044,Sphenoid Sinusitis
1045,Pneumothorax
1046,"Pericarditis, Constrictive"
1047,Monosomy
1048,Renal Insufficiency
1049,Aortic Diseases
1050,Spinal Neoplasms
1051,Hydrothorax
1052,Spinal Cord Ischemia
1053,Feeding and Eating Disorders of Childhood
1054,Cerebellar Neoplasms
1055,Pierre Robin Syndrome
1056,Chondroblastoma
1057,Hyperlipoproteinemia Type V
1058,Feline Infectious Peritonitis
1059,Dental Caries
1060,Polycythemia
1061,Entropion
1062,Vipoma
1063,Cherubism
1064,"Muscular Dystrophies, Limb-Girdle"
1065,Coloboma
1066,Corneal Neovascularization
1067,Turner Syndrome
1068,"Mental Retardation, X-Linked"
1069,Usher Syndromes
1070,Respiratory Tract Neoplasms
1071,Tinea Pedis
1072,Arm Injuries
1073,Olfactory Nerve Diseases
1074,Monoclonal Gammopathy of Undetermined Significance
1075,Thrombotic Microangiopathies
1076,Crigler-Najjar Syndrome
1077,Anisometropia
1078,"Hearing Loss, Sensorineural"
1079,Ataxia
1080,"Pain, Intractable"
1081,Pyuria
1082,Coccidiosis
1083,"Melanoma, Experimental"
1084,Kidney Calculi
1085,Leukocyte-Adhesion Deficiency Syndrome
1086,Rectocele
1087,Gingival Diseases
1088,Dysphonia
1089,Intracranial Hypotension
1090,Hyperprolactinemia
1091,Lymphoproliferative Disorders
1092,Sex Chromosome Aberrations
1093,Hepatic Encephalopathy
1094,Lewy Body Disease
1095,Frostbite
1096,Hartnup Disease
1097,"Carcinoma, Medullary"
1098,Oligohydramnios
1099,"Blindness, Cortical"
1100,"Paget Disease, Extramammary"
1101,Hypophosphatasia
1102,"Amnesia, Anterograde"
1103,Osteoradionecrosis
1104,"Amyloidosis, Familial"
1105,Heart Neoplasms
1106,Pneumonia
1107,"Conjunctivitis, Allergic"
1108,Diabetic Ketoacidosis
1109,"Tuberculosis, Cardiovascular"
1110,"Thyroiditis, Suppurative"
1111,Arbovirus Infections
1112,"Encephalomyelitis, Equine"
1113,Osteolysis
1114,Panniculitis
1115,Child Nutrition Disorders
1116,Coronary Vessel Anomalies
1117,"Hypertension, Pulmonary"
1118,Bronchial Spasm
1119,Neurodermatitis
1120,Ellis-Van Creveld Syndrome
1121,Postoperative Hemorrhage
1122,Rett Syndrome
1123,Lymphangioleiomyomatosis
1124,Language Disorders
1125,Gynecomastia
1126,Ophthalmia Neonatorum
1127,"Dentin, Secondary"
1128,"Uveitis, Intermediate"
1129,Pulmonary Alveolar Proteinosis
1130,Graft vs Host Disease
1131,Mite Infestations
1132,"Esophageal Spasm, Diffuse"
1133,Alagille Syndrome
1134,Chiari-Frommel Syndrome
1135,Cerebral Amyloid Angiopathy
1136,Hematocolpos
1137,Vulvar Vestibulitis
1138,Wolfram Syndrome
1139,Toxoplasmosis
1140,Disorders of Excessive Somnolence
1141,Neurocirculatory Asthenia
1142,Fusobacterium Infections
1143,Carbuncle
1144,Adenoviridae Infections
1145,Common Bile Duct Neoplasms
1146,"Pregnancy, Abdominal"
1147,Erythromelalgia
1148,"Schizophrenia, Disorganized"
1149,Histiocytic Sarcoma
1150,Neuroma
1151,"Rhabdomyosarcoma, Alveolar"
1152,Intestinal Fistula
1153,Sciatic Neuropathy
1154,Ureterocele
1155,Splenic Rupture
1156,Mucopolysaccharidosis IV
1157,Snake Bites
1158,Postthrombotic Syndrome
1159,"Hypertension, Pregnancy-Induced"
1160,Mastocytoma
1161,Persistent Vegetative State
1162,"Encephalomyelitis, Western Equine"
1163,Myoma
1164,Hyperacusis
1165,Pre-Excitation Syndromes
1166,Factor XI Deficiency
1167,"AIDS Arteritis, Central Nervous System"
1168,Decapitation
1169,"Reflex, Babinski"
1170,Onycholysis
1171,Acro-Osteolysis
1172,"Cystadenoma, Papillary"
1173,"Tuberculosis, Spinal"
1174,Common Cold
1175,Strabismus
1176,Paresthesia
1177,Diabetes Insipidus
1178,Coronary Disease
1179,"Telangiectasia, Hereditary Hemorrhagic"
1180,Salmonella Infections
1181,Poxviridae Infections
1182,HTLV-I Infections
1183,"Malaria, Avian"
1184,Ileal Neoplasms
1185,"Neoplasms, Unknown Primary"
1186,Chondrocalcinosis
1187,"Epilepsies, Myoclonic"
1188,Darier Disease
1189,Calculi
1190,Pyometra
1191,Starvation
1192,Torsion Abnormality
1193,Adenomyoma
1194,Giant Cell Tumors
1195,Optic Atrophy
1196,Choroiditis
1197,Earache
1198,Peroneal Neuropathies
1199,Congenital Disorders of Glycosylation
1200,"Gangliosidoses, GM2"
1201,Near Drowning
1202,Tick Paralysis
1203,Whiplash Injuries
1204,Aleutian Mink Disease
1205,Platelet Storage Pool Deficiency
1206,Periprosthetic Fractures
1207,Oophoritis
1208,MERRF Syndrome
1209,Torovirus Infections
1210,Acromegaly
1211,Eosinophilia
1212,"Tuberculosis, Bovine"
1213,"Tuberculosis, Multidrug-Resistant"
1214,Rubella
1215,"Toxoplasmosis, Congenital"
1216,"Leukemia, Erythroblastic, Acute"
1217,Pancreatic Diseases
1218,Ureteral Obstruction
1219,Endocarditis
1220,Agricultural Workers' Diseases
1221,Vaginal Diseases
1222,Polycythemia Vera
1223,Colonic Diseases
1224,Diabetic Foot
1225,Aphonia
1226,"Rhinitis, Atrophic"
1227,Hemopneumothorax
1228,Dipetalonema Infections
1229,Balkan Nephropathy
1230,Trichostrongyloidiasis
1231,"Gangliosidosis, GM1"
1232,Bowen's Disease
1233,Hyperandrogenism
1234,Prosthesis Failure
1235,Spinal Diseases
1236,Lipodystrophy
1237,Arachnoid Cysts
1238,"Head Injuries, Closed"
1239,Alkalosis
1240,Lyme Disease
1241,Central Nervous System Infections
1242,"Abortion, Septic"
1243,Tinea
1244,Papillomavirus Infections
1245,Flavivirus Infections
1246,Retinal Neoplasms
1247,Lactose Intolerance
1248,Vascular Malformations
1249,Fanconi Anemia
1250,Mixed Connective Tissue Disease
1251,"Dermatitis, Seborrheic"
1252,Contusions
1253,Musculoskeletal Abnormalities
1254,Sweat Gland Neoplasms
1255,"Gastritis, Atrophic"
1256,Hemospermia
1257,Pure Autonomic Failure
1258,Linitis Plastica
1259,Agraphia
1260,Low Tension Glaucoma
1261,Glycogen Storage Disease Type VII
1262,Diurnal Enuresis
1263,Trichomonas Infections
1264,Psoriasis
1265,"Pericarditis, Tuberculous"
1266,"Focal Infection, Dental"
1267,"Granuloma, Lethal Midline"
1268,Meningism
1269,Hemiplegia
1270,Job's Syndrome
1271,"Burns, Chemical"
1272,Hypertrophy
1273,Bile Duct Diseases
1274,Thoracic Outlet Syndrome
1275,Dupuytren Contracture
1276,Tennis Elbow
1277,"Positive-Pressure Respiration, Intrinsic"
1278,Protein-Losing Enteropathies
1279,"Heart Failure, Diastolic"
1280,"Carcinoma, Acinar Cell"
1281,Sarcoma 37
1282,Rhinosporidiosis
1283,Tooth Ankylosis
1284,"Leukemia, Hairy Cell"
1285,Arachnoiditis
1286,"Spastic Paraplegia, Hereditary"
1287,"Heart Septal Defects, Atrial"
1288,Yersinia Infections
1289,Impetigo
1290,Herpesviridae Infections
1291,Appendiceal Neoplasms
1292,Diabetic Nephropathies
1293,Cystitis
1294,Abdominal Injuries
1295,Water Intoxication
1296,"Osteoarthropathy, Secondary Hypertrophic"
1297,Gastroenteritis
1298,Microphthalmos
1299,"Dermatitis, Contact"
1300,Extravasation of Diagnostic and Therapeutic Materials
1301,"Dementia, Vascular"
1302,Gout
1303,Beckwith-Wiedemann Syndrome
1304,Tracheobronchomegaly
1305,Tobacco Use Disorder
1306,Hyphema
1307,"Anemia, Diamond-Blackfan"
1308,Otitis
1309,Overnutrition
1310,"Infarction, Anterior Cerebral Artery"
1311,Somatosensory Disorders
1312,Paranoid Personality Disorder
1313,"Malocclusion, Angle Class I"
1314,Myotonic Disorders
1315,Sunburn
1316,Multiple Endocrine Neoplasia Type 1
1317,Uniparental Disomy
1318,Myoepithelioma
1319,Solitary Fibrous Tumors
1320,Iritis
1321,Central Nervous System Venous Angioma
1322,"Neoplasms, Post-Traumatic"
1323,Hip Contracture
1324,Ascaridiasis
1325,Li-Fraumeni Syndrome
1326,Rectal Neoplasms
1327,Myoclonus
1328,Pregnancy Complications
1329,Urticaria
1330,Thyroid Crisis
1331,"Meningitis, Bacterial"
1332,Borrelia Infections
1333,"Aspergillosis, Allergic Bronchopulmonary"
1334,"Encephalitis, Japanese"
1335,"Influenza, Human"
1336,Tracheoesophageal Fistula
1337,Peptic Ulcer Hemorrhage
1338,Pleural Effusion
1339,Cataplexy
1340,Coronary Thrombosis
1341,Granuloma
1342,Phosphorus Metabolism Disorders
1343,"Fractures, Open"
1344,Dirofilariasis
1345,Osteoma
1346,Pinealoma
1347,"Polycystic Kidney, Autosomal Dominant"
1348,Aortitis
1349,Ectodermal Dysplasia
1350,Sudden Infant Death
1351,"Glomerulonephritis, Membranoproliferative"
1352,Acute Generalized Exanthematous Pustulosis
1353,Krukenberg Tumor
1354,Hypospadias
1355,"Vision, Low"
1356,Ulna Fractures
1357,Livedo Reticularis
1358,"Genetic Diseases, X-Linked"
1359,Distal Myopathies
1360,"Plaque, Amyloid"
1361,Trachoma
1362,Immune Complex Diseases
1363,Dental Pulp Exposure
1364,"Lead Poisoning, Nervous System, Childhood"
1365,"Nails, Malformed"
1366,Reactive Attachment Disorder
1367,Pallister-Hall Syndrome
1368,Microstomia
1369,Immunoproliferative Disorders
1370,Pituitary ACTH Hypersecretion
1371,Dyskeratosis Congenita
1372,Collagen Diseases
1373,Central Nervous System Diseases
1374,Hypochondriasis
1375,Bacteroides Infections
1376,"Pneumonia, Mycoplasma"
1377,Aspergillosis
1378,Severe Acute Respiratory Syndrome
1379,"Hyperostosis, Cortical, Congenital"
1380,Gastroschisis
1381,"Respiratory Distress Syndrome, Adult"
1382,Airway Obstruction
1383,Orthostatic Intolerance
1384,Dysarthria
1385,"Pemphigoid, Benign Mucous Membrane"
1386,Prostatic Diseases
1387,Malnutrition
1388,Pulmonary Sclerosing Hemangioma
1389,Long QT Syndrome
1390,Esophageal Cyst
1391,Factor V Deficiency
1392,Laryngismus
1393,Dentin Dysplasia
1394,"Granuloma, Foreign-Body"
1395,Silicotuberculosis
1396,Williams Syndrome
1397,Upper Extremity Deep Vein Thrombosis
1398,"Amnesia, Transient Global"
1399,Ventilator-Induced Lung Injury
1400,Tyrosinemias
1401,"Hypophosphatemic Rickets, X-Linked Dominant"
1402,Lissencephaly
1403,"Cystadenocarcinoma, Mucinous"
1404,"Wasting Disease, Chronic"
1405,Gonadal Disorders
1406,"Auditory Diseases, Central"
1407,Arteriolosclerosis
1408,Ovotesticular Disorders of Sex Development
1409,Growth Disorders
1410,Hematologic Neoplasms
1411,Neck Pain
1412,"Heart Defects, Congenital"
1413,Hysteria
1414,Heartwater Disease
1415,Giardiasis
1416,Biliary Tract Neoplasms
1417,Bursitis
1418,"Epilepsy, Complex Partial"
1419,Lacrimal Apparatus Diseases
1420,Polyarteritis Nodosa
1421,Purpura Fulminans
1422,Hypoproteinemia
1423,Hypereosinophilic Syndrome
1424,Blister
1425,Pancreatitis
1426,Cor Triatriatum
1427,Lateral Medullary Syndrome
1428,Intracranial Arteriovenous Malformations
1429,Pulpitis
1430,"Hearing Loss, Conductive"
1431,"Neuralgia, Postherpetic"
1432,Phimosis
1433,Priapism
1434,Dermatofibrosarcoma
1435,Limbic Encephalitis
1436,Stereotypic Movement Disorder
1437,Canavan Disease
1438,"Myoclonic Epilepsies, Progressive"
1439,Pneumocystis Infections
1440,Passive-Aggressive Personality Disorder
1441,Spermatocele
1442,Neuromyelitis Optica
1443,Parasystole
1444,"Epilepsy, Absence"
1445,Pseudomonas Infections
1446,"Tuberculosis, Lymph Node"
1447,Togaviridae Infections
1448,"Paraneoplastic Syndromes, Nervous System"
1449,Retinal Vasculitis
1450,Uterine Perforation
1451,Attention Deficit Disorder with Hyperactivity
1452,Gastric Fistula
1453,"Melanoma, Amelanotic"
1454,"Respiratory Distress Syndrome, Newborn"
1455,"Osteolysis, Essential"
1456,Uveal Neoplasms
1457,"Amputation, Traumatic"
1458,Mycotoxicosis
1459,Periodontal Cyst
1460,Androgen-Insensitivity Syndrome
1461,Synovial Cyst
1462,Blue Toe Syndrome
1463,"Leukodystrophy, Globoid Cell"
1464,Sneddon Syndrome
1465,Finger Injuries
1466,Necatoriasis
1467,Accessory Nerve Diseases
1468,Sleep Bruxism
1469,Pica
1470,Herpes Zoster Oticus
1471,Leiomyomatosis
1472,Bladder Exstrophy
1473,"Neoplasms, Mesothelial"
1474,"Carcinoma, Basosquamous"
1475,"Uveitis, Suppurative"
1476,Charcot-Marie-Tooth Disease
1477,"Alcohol-Induced Disorders, Nervous System"
1478,Postgastrectomy Syndromes
1479,Syringomyelia
1480,Scarlet Fever
1481,"Eye Infections, Viral"
1482,Hantavirus Infections
1483,Ascariasis
1484,Adenomatous Polyposis Coli
1485,Neurofibromatoses
1486,Dysentery
1487,Headache Disorders
1488,Tic Disorders
1489,Fallopian Tube Diseases
1490,Diseases in Twins
1491,"Aneurysm, Dissecting"
1492,Anterior Compartment Syndrome
1493,Altitude Sickness
1494,Glaucoma
1495,Retinal Diseases
1496,"Fasciitis, Plantar"
1497,"Gait Disorders, Neurologic"
1498,"Keratosis, Seborrheic"
1499,Atrial Premature Complexes
1500,Neuroaxonal Dystrophies
1501,Retrograde Degeneration
1502,Fascioloidiasis
1503,Colloid Cysts
1504,Articulation Disorders
1505,"Neovascularization, Pathologic"
1506,Intussusception
1507,Postpartum Hemorrhage
1508,Tuberculoma
1509,Abdominal Abscess
1510,Lymphangioma
1511,"Polychondritis, Relapsing"
1512,Idiopathic Pulmonary Fibrosis
1513,Orbital Cellulitis
1514,Thalassemia
1515,Agammaglobulinemia
1516,Foreign-Body Reaction
1517,Bites and Stings
1518,Laurence-Moon Syndrome
1519,Cardiovascular Abnormalities
1520,"Paralyses, Familial Periodic"
1521,Aortic Arch Syndromes
1522,Isaacs Syndrome
1523,Median Neuropathy
1524,Proteus Syndrome
1525,Blind Loop Syndrome
1526,Cytochrome-c Oxidase Deficiency
1527,Glycosuria
1528,"Porphyrias, Hepatic"
1529,Metaplasia
1530,Gonadoblastoma
1531,Azoospermia
1532,Coffin-Lowry Syndrome
1533,Craniofacial Abnormalities
1534,Mycoses
1535,Magnesium Deficiency
1536,Klebsiella Infections
1537,Paratuberculosis
1538,"Arthritis, Infectious"
1539,"Hemorrhagic Fever, Crimean"
1540,"Lung Diseases, Interstitial"
1541,Labyrinthitis
1542,"Brain Diseases, Metabolic, Inborn"
1543,Scleral Diseases
1544,Hemosiderosis
1545,"Epilepsy, Tonic-Clonic"
1546,Status Asthmaticus
1547,Hypoglossal Nerve Diseases
1548,Tricuspid Atresia
1549,"Corneal Dystrophies, Hereditary"
1550,Flavobacteriaceae Infections
1551,"Carcinoma, Brown-Pearce"
1552,Mirizzi Syndrome
1553,Fox-Fordyce Disease
1554,PC12 Cells
1555,Trichiasis
1556,Respiratory Syncytial Virus Infections
1557,"Amyloid Neuropathies, Familial"
1558,Hyperparathyroidism
1559,Jaundice
1560,Scrub Typhus
1561,"Tuberculosis, Osteoarticular"
1562,Cryptococcosis
1563,Paramyxoviridae Infections
1564,Mumps
1565,"Echinococcosis, Pulmonary"
1566,Myelolipoma
1567,"Mammary Neoplasms, Experimental"
1568,Digestive System Abnormalities
1569,Mastitis
1570,"Hernia, Diaphragmatic"
1571,"Sleep Disorders, Intrinsic"
1572,Stomach Volvulus
1573,Pneumoconiosis
1574,Hearing Loss
1575,Hydronephrosis
1576,Obstetric Labor Complications
1577,Capillary Leak Syndrome
1578,Angiolymphoid Hyperplasia with Eosinophilia
1579,"Tachycardia, Paroxysmal"
1580,Endocardial Fibroelastosis
1581,"Aneurysm, Ruptured"
1582,Hyaline Membrane Disease
1583,REM Sleep Parasomnias
1584,"Arthritis, Juvenile Rheumatoid"
1585,"Mesothelioma, Cystic"
1586,"Hearing Loss, High-Frequency"
1587,"Graft Occlusion, Vascular"
1588,"Esthesioneuroblastoma, Olfactory"
1589,Posterior Tibial Tendon Dysfunction
1590,Abducens Nerve Injury
1591,Retrobulbar Hemorrhage
1592,Urinary Bladder Calculi
1593,"Genital Neoplasms, Female"
1594,"Heredodegenerative Disorders, Nervous System"
1595,Spondylolysis
1596,Spirochaetales Infections
1597,Felty's Syndrome
1598,Chromosome Inversion
1599,Radial Neuropathy
1600,"Cicatrix, Hypertrophic"
1601,"Glaucoma, Neovascular"
1602,"Gonadal Dysgenesis, 46,XY"
1603,"Candidiasis, Vulvovaginal"
1604,Single Umbilical Artery
1605,Lyme Neuroborreliosis
1606,"Papilloma, Inverted"
1607,Acrospiroma
1608,Epidermodysplasia Verruciformis
1609,Optic Nerve Glioma
1610,Myofibromatosis
1611,Cutis Laxa
1612,Rheumatic Diseases
1613,Back Pain
1614,Paralysis
1615,"Adrenal Hyperplasia, Congenital"
1616,Enterobacteriaceae Infections
1617,Salmonella Food Poisoning
1618,Suppuration
1619,Rotavirus Infections
1620,Splenic Neoplasms
1621,Ileal Diseases
1622,Otitis Media with Effusion
1623,Oliguria
1624,Wolff-Parkinson-White Syndrome
1625,Central Nervous System Neoplasms
1626,Shy-Drager Syndrome
1627,"Sinus Thrombosis, Intracranial"
1628,Paresis
1629,Takotsubo Cardiomyopathy
1630,von Willebrand Diseases
1631,Neuritis
1632,Nerve Sheath Neoplasms
1633,"Dwarfism, Pituitary"
1634,Duodenal Diseases
1635,"Fractures, Stress"
1636,Basal Cell Nevus Syndrome
1637,"Paraparesis, Spastic"
1638,Hypertrichosis
1639,Oligodendroglioma
1640,Adamantinoma
1641,Infratentorial Neoplasms
1642,Fibrous Dysplasia of Bone
1643,Pterygium
1644,Feline Acquired Immunodeficiency Syndrome
1645,Acute-Phase Reaction
1646,Nematode Infections
1647,Glycogen Storage Disease Type III
1648,Lentigo
1649,Pantothenate Kinase-Associated Neurodegeneration
1650,Periapical Periodontitis
1651,De Quervain Disease
1652,Growth Hormone-Secreting Pituitary Adenoma
1653,Paraphilias
1654,22q11 Deletion Syndrome
1655,"Skull Fracture, Depressed"
1656,Acanthosis Nigricans
1657,Insulin Coma
1658,Acanthamoeba Keratitis
1659,Capgras Syndrome
1660,Cafe-au-Lait Spots
1661,Hymenolepiasis
1662,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative"
1663,"Pregnancy, Tubal"
1664,Sleep Initiation and Maintenance Disorders
1665,Cataract
1666,Sinoatrial Block
1667,Brucellosis
1668,Gastrointestinal Neoplasms
1669,Myoglobinuria
1670,Dumping Syndrome
1671,Proteus Infections
1672,"Tuberculosis, Central Nervous System"
1673,RNA Virus Infections
1674,"Genital Diseases, Female"
1675,Uterine Diseases
1676,Cocaine-Related Disorders
1677,Central Nervous System Vascular Malformations
1678,Ventricular Septal Rupture
1679,Scleredema Adultorum
1680,Peritoneal Diseases
1681,Hematuria
1682,"Leprosy, Tuberculoid"
1683,Neuroendocrine Tumors
1684,Mononeuropathies
1685,Protein C Deficiency
1686,Thanatophoric Dysplasia
1687,Heart Septal Defects
1688,Hip Fractures
1689,"Liposarcoma, Myxoid"
1690,Peripheral Arterial Disease
1691,Paronychia
1692,Aphakia
1693,Maxillofacial Injuries
1694,Alcohol Withdrawal Delirium
1695,Patellofemoral Pain Syndrome
1696,Hyper-IgM Immunodeficiency Syndrome
1697,Narcolepsy
1698,Choledocholithiasis
1699,Spinal Cord Vascular Diseases
1700,Corneal Wavefront Aberration
1701,Central Serous Chorioretinopathy
1702,"Ophthalmoplegia, Chronic Progressive External"
1703,Progeria
1704,Uterine Neoplasms
1705,Thalamic Diseases
1706,Gram-Negative Bacterial Infections
1707,West Nile Fever
1708,Malignant Catarrh
1709,Polycystic Ovary Syndrome
1710,Stomatitis
1711,Brachial Plexus Neuropathies
1712,Takayasu Arteritis
1713,Menkes Kinky Hair Syndrome
1714,"Esophagitis, Peptic"
1715,"Anemia, Hemolytic, Congenital"
1716,Fecal Incontinence
1717,Arterio-Arterial Fistula
1718,Siderosis
1719,Erythema
1720,Yang Deficiency
1721,"Uveitis, Anterior"
1722,Gambling
1723,Taeniasis
1724,Atrioventricular Block
1725,"Hearing Loss, Noise-Induced"
1726,Dissociative Disorders
1727,Knee Injuries
1728,Ossification of Posterior Longitudinal Ligament
1729,"Neuroectodermal Tumors, Primitive, Peripheral"
1730,"Plagiocephaly, Nonsynostotic"
1731,Kuru
1732,"Goiter, Endemic"
1733,Acne Keloid
1734,Metrorrhagia
1735,Angiofibroma
1736,Retrognathism
1737,Massive Hepatic Necrosis
1738,Primary Graft Dysfunction
1739,Sphincter of Oddi Dysfunction
1740,"Enterocolitis, Neutropenic"
1741,Zoster Sine Herpete
1742,CREST Syndrome
1743,Hepatitis
1744,"Tuberculosis, Ocular"
1745,Weil Disease
1746,Neisseriaceae Infections
1747,Mycobacterium Infections
1748,Cardiovirus Infections
1749,Viremia
1750,Adrenal Cortex Neoplasms
1751,Nasopharyngeal Neoplasms
1752,Pulmonary Eosinophilia
1753,Spinocerebellar Degenerations
1754,Gerstmann-Straussler-Scheinker Disease
1755,"Anemia, Dyserythropoietic, Congenital"
1756,Ichthyosis
1757,Ketosis
1758,"Hypersensitivity, Immediate"
1759,"Wounds, Penetrating"
1760,Precursor Cell Lymphoblastic Leukemia-Lymphoma
1761,"Liver Cirrhosis, Biliary"
1762,Pulmonary Heart Disease
1763,"Muscular Atrophy, Spinal"
1764,"Dendritic Cell Sarcoma, Follicular"
1765,Torticollis
1766,Coronary Restenosis
1767,Jejunal Neoplasms
1768,Achondroplasia
1769,"Diabetes Mellitus, Lipoatrophic"
1770,Iron Overload
1771,Leukocyte Disorders
1772,Primary Progressive Nonfluent Aphasia
1773,Tietze's Syndrome
1774,Aggressive Periodontitis
1775,Trombiculiasis
1776,Submandibular Gland Neoplasms
1777,Vitamin D Deficiency
1778,Asthma
1779,Empty Sella Syndrome
1780,Carpal Tunnel Syndrome
1781,Graves Disease
1782,Actinomycetales Infections
1783,Urticaria Pigmentosa
1784,"Carcinoma, Lobular"
1785,Pharyngeal Neoplasms
1786,Urogenital Neoplasms
1787,"Hepatitis, Chronic"
1788,Peliosis Hepatis
1789,Intracranial Thrombosis
1790,"Pleural Effusion, Malignant"
1791,Hepatomegaly
1792,Myotonia
1793,Immune Reconstitution Inflammatory Syndrome
1794,Ventricular Remodeling
1795,"Carcinoma, Verrucous"
1796,Chancroid
1797,Cranial Nerve Injuries
1798,Nocturnal Paroxysmal Dystonia
1799,"Muscular Disorders, Atrophic"
1800,Unverricht-Lundborg Syndrome
1801,Arachnodactyly
1802,Multiple Personality Disorder
1803,Gastrinoma
1804,Pleurisy
1805,"Akathisia, Drug-Induced"
1806,"Hypophosphatemia, Familial"
1807,Bundle-Branch Block
1808,Scurvy
1809,Treponemal Infections
1810,Vibrio Infections
1811,Osteomyelitis
1812,Porcine Reproductive and Respiratory Syndrome
1813,Maxillary Sinusitis
1814,Aortic Valve Stenosis
1815,Acute Coronary Syndrome
1816,Ergotism
1817,Lightning Injuries
1818,Peritonitis
1819,Tricuspid Valve Stenosis
1820,Shoulder Dislocation
1821,Alcohol Withdrawal Seizures
1822,Ectromelia
1823,Spirurida Infections
1824,Cervical Rib Syndrome
1825,Visceral Prolapse
1826,Spinal Osteochondrosis
1827,Vein of Galen Malformations
1828,Cerebral Palsy
1829,Insulin Resistance
1830,"Hepatitis C, Chronic"
1831,Delirium
1832,Pigmentation Disorders
1833,"Toxoplasmosis, Cerebral"
1834,Nerve Compression Syndromes
1835,Vulvar Diseases
1836,"Fetal Membranes, Premature Rupture"
1837,Rh Isoimmunization
1838,Alopecia
1839,Hemorrhage
1840,"Adenocarcinoma, Sebaceous"
1841,Communication Disorders
1842,Masochism
1843,Skin Neoplasms
1844,"Spondylitis, Ankylosing"
1845,Syncope
1846,Heart Diseases
1847,"Hemorrhagic Fever, Ebola"
1848,Paragonimiasis
1849,"Liver Failure, Acute"
1850,Spina Bifida Occulta
1851,Pregnancy in Diabetics
1852,"Diverticulum, Colon"
1853,Ocular Motility Disorders
1854,"Neuroectodermal Tumors, Primitive"
1855,Carcinoma in Situ
1856,Cryptogenic Organizing Pneumonia
1857,Brain Infarction
1858,"Diabetes Insipidus, Nephrogenic"
1859,Bone Marrow Diseases
1860,"Histiocytosis, Sinus"
1861,"Niemann-Pick Disease, Type B"
1862,Ventricular Premature Complexes
1863,Urinary Bladder Neoplasms
1864,"Fibroma, Ossifying"
1865,Uterine Cervical Incompetence
1866,Synkinesis
1867,"Xanthomatosis, Cerebrotendinous"
1868,"Neoplasms, Adnexal and Skin Appendage"
1869,Intervertebral Disk Degeneration
1870,"Foot Deformities, Acquired"
1871,Coprophagia
1872,Asthenopia
1873,"Albinism, Oculocutaneous"
1874,Night Terrors
1875,Retinal Artery Occlusion
1876,"Adenoma, Acidophil"
1877,Neuroaspergillosis
1878,Glossopharyngeal Nerve Diseases
1879,Autoimmune Lymphoproliferative Syndrome
1880,"Ear Deformities, Acquired"
1881,Andersen Syndrome
1882,Dry Socket
1883,Primary Dysautonomias
1884,Cockayne Syndrome
1885,Tularemia
1886,"Leishmaniasis, Visceral"
1887,Muscle Weakness
1888,"Muscular Dystrophy, Oculopharyngeal"
1889,Hypotension
1890,"Bone Diseases, Infectious"
1891,Pyomyositis
1892,Bluetongue
1893,Neuroschistosomiasis
1894,Pulmonary Atelectasis
1895,Diffuse Axonal Injury
1896,"Pyelonephritis, Xanthogranulomatous"
1897,Hypersplenism
1898,Pneumatosis Cystoides Intestinalis
1899,"Rhinitis, Vasomotor"
1900,Tongue Neoplasms
1901,Celiac Disease
1902,Polyradiculopathy
1903,Adnexal Diseases
1904,"Anemia, Sickle Cell"
1905,Familial Mediterranean Fever
1906,Metabolic Diseases
